plotID,collectDate,horizonName,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,airDryOvenDryRatio,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,phCacl2,phH2o,ec12pre,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,carbonTot,nitrogenTot,ctonRatio,estimatedOC,sulfurTot,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate,optDensityOxalate,alCitDithionate,feCitDithionate,mnCitDithionate,siliconCitrateDithionate,acidity,waterRetention15Bar,MehlichIIITotP,Bray1PExtractable,OlsenPExtractable,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensThirdBar,bulkDensOvenDry,bulkDensFieldMoist,waterRetentionThirdBar,fieldWaterContent
MOAB_016,2016-04-27,Bt2,22,52,37,1.012,NA,70,46.9,0.5,5,0,5,NA,52.4,100,NA,NA,NA,NA,8,8.6,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,0,NA,1,0,0.03,0,112.6,31,0.01,0,0,0.3,0,NA,NA,NA,NA,NA,0.6,7.3,2.8,71.1,17.9,11,2.6,NA,7.7,10.2,32.4,32.8,4.3,1,37,22,52,1.48,1.52,NA,12.2,NA
MOAB_025,2016-04-27,Bk,7,24,15.5,1.043,NA,220,63.4,0.5,8,0,21.4,NA,71.9,100,NA,NA,NA,NA,7.8,8.3,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,1.4,12,17,0.2,0.03,0.03,83.7,244,0.03,0.21,0,0.2,0,NA,NA,NA,NA,NA,3.8,39.2,27.2,40.1,26.8,33.1,10.8,NA,13.5,13.3,3.2,21.7,13.9,0.9,15.5,7,24,1.08,1.15,NA,21.3,NA
MOAB_028,2016-04-27,Bk,9,28,18.5,1.026,NA,460,57.9,0.4,2.3,0,13.9,NA,60.6,100,NA,NA,NA,NA,7.8,8.4,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5,0.6,9,5,0.1,0.02,0,93.3,168.3,0,0.11,0,0.4,0,NA,NA,NA,NA,NA,1.9,102.7,6.8,5.4,66.1,28.5,3.8,NA,49.2,16.9,4.4,0.7,0.2,0.1,18.5,9,28,1.49,1.66,NA,17.9,NA
MOAB_002,2016-04-27,Bk2,71,100,85.5,1.008,0,160,50.7,0.2,2.7,0,3,NA,53.6,100,NA,NA,NA,NA,7.9,8.2,0.57,NA,0,16.9,0.9,0,2.21,0,32.4,2.5,0.7,8.4,0.5,0,0.1,0,7.8,NA,24.3,21,0.1,12,1,0.1,0.01,0,30.3,41.4,0.01,0,0,0.2,0,NA,NA,NA,NA,NA,1.1,1.5,1.3,74.9,12.4,12.7,5.9,NA,5.8,6.6,27.3,42.1,2.8,2.3,85.5,71,100,1.56,1.6,NA,11.2,NA
MOAB_002,2016-04-27,Bw2,23,52,37.5,1.01,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,8.6,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0.3,7,2,0,0.03,0,158.3,56.9,0.01,0.01,0,0.3,0,NA,NA,NA,NA,NA,1.5,3.6,0.4,75.1,14.2,10.7,1.5,NA,4.3,9.9,38.3,32.6,3.7,0.5,37.5,23,52,1.52,1.55,NA,11.3,NA
MOAB_016,2016-04-27,A,0,7,3.5,1.008,NA,20,23.8,0.4,3,0,5.2,NA,27.2,100,NA,NA,NA,NA,7.6,8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,0.5,9,4,0,0.03,0,136.6,110.1,0.01,0.01,0,0.2,0,NA,NA,NA,NA,NA,7.7,2.9,1.1,79.8,14.1,6.1,0,NA,4.6,9.5,36,38.6,4.3,0.8,3.5,0,7,NA,NA,1.48,NA,4.8
MOAB_002,2016-04-27,A,0,7,3.5,1.008,NA,0,7,0.4,1.4,0,4.8,NA,8.8,100,NA,NA,NA,NA,7.5,7.9,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,0.5,9,4,0.1,0.03,0,129.3,78,0.01,0,0,0.3,0,NA,0.5,NA,NA,NA,11.1,0,0,83.5,8.6,7.9,0,NA,2.2,6.4,33.5,44.5,4.6,0.8,3.5,0,7,NA,NA,1.53,NA,3.7
MOAB_013,2016-04-27,Btk,21,49,35,1.012,NA,40,47.1,0.3,2.1,0,4.8,NA,49.5,100,NA,NA,NA,NA,7.9,8.5,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,0.3,9,3,0,0.03,0,139.7,12.2,0.01,0.01,0,0.3,0,NA,NA,NA,NA,NA,1.1,5.1,4.1,76.5,11.2,12.3,2.3,NA,4.2,7,40.6,32.7,2.7,0.3,35,21,49,1.51,1.55,NA,8.3,NA
MOAB_002,2016-04-27,Bw1,7,23,15,1.011,NA,10,10.2,0.6,2,0,5.5,NA,12.8,100,NA,NA,NA,NA,7.8,8.4,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,0.3,8,2,0,0.03,0,159,54.4,0.01,0,0,0.3,0,NA,NA,NA,NA,NA,5.1,3.4,0,78.8,11.1,10.1,0,NA,3.4,7.7,40,33.9,4.1,0.7,15,7,23,1.64,1.68,NA,11.3,NA
MOAB_002,2016-04-27,Bk1,52,71,61.5,1.009,NA,130,49.1,1.2,2.2,0,3.3,NA,52.5,100,NA,NA,NA,NA,7.9,8.7,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,0.4,2,1,0,0.03,0,72.5,38.7,0,0,0,0.3,0,NA,NA,NA,NA,NA,1.2,94.5,196.8,74.5,10.6,14.9,5.9,NA,5.2,5.4,31.4,35.8,5.5,1.6,61.5,52,71,1.61,1.65,NA,9.9,NA
MOAB_013,2016-04-27,A,0,9,4.5,1.009,NA,0,6.8,0.4,1.3,0,5.2,NA,8.5,100,NA,NA,NA,NA,7.3,7.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,0.5,10,5,0.1,0.03,0,138.3,83.2,0.01,0,0,0.2,0,NA,0.3,NA,NA,NA,10.5,0,0,82.2,8.9,8.9,0,NA,2.5,6.4,40.3,38.8,2.5,0.4,4.5,0,9,NA,NA,1.52,NA,4.9
MOAB_025,2016-04-27,Btk1,24,48,36,1.032,NA,270,53.5,0.4,11.5,0,13.5,NA,65.4,100,NA,NA,NA,NA,8,8.6,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,0.4,7,3,0.2,0.03,0,79.1,33.5,0.03,0.03,0,0.2,0,NA,NA,NA,NA,NA,0.4,110.2,38.2,33.3,28.4,38.3,17.1,NA,11.9,16.5,24.7,6,2.3,0.3,36,24,48,1.5,1.66,NA,21,NA
MOAB_016,2016-04-27,Bk2,73,100,86.5,1.011,NA,270,48.4,0.1,12.5,0,2.7,NA,61,100,NA,NA,NA,NA,8.3,9,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,0.1,11,1,0.1,0.01,0,7.2,0,0.01,0.01,0,0.1,0,NA,NA,NA,NA,NA,1,125.2,91,72,9.6,18.4,12.7,NA,5.6,4,20.2,38.3,7.2,4,86.5,73,100,1.47,1.53,NA,13.4,NA
MOAB_003,2016-04-27,BC,11,31,21,1.024,NA,210,51.4,0.3,12.7,0,10.7,NA,64.4,100,NA,NA,NA,NA,8,8.5,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4,0.7,15,11,0,0.01,0,71.4,76.5,0.03,0.11,0,0.5,0,NA,NA,NA,NA,NA,1.8,202.4,203.8,58.1,26.3,15.6,3.2,NA,15.7,10.6,26.1,26.1,4,1.5,21,11,31,NA,NA,1.09,NA,6.3
MOAB_013,2016-04-27,Bt,9,21,15,1.013,NA,10,13.8,0.5,1.7,0,6.5,NA,16,100,NA,NA,NA,NA,7.7,8.3,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0.3,9,3,0,0.04,0,178.2,52.2,0.01,0.01,0,0.3,0,NA,NA,NA,NA,NA,4.3,1.2,2.1,77.4,10.4,12.2,0,NA,3.6,6.8,40.9,33.7,2.3,0.4,15,9,21,1.6,1.66,NA,8.1,NA
MOAB_010,2016-04-28,Bw1,6,23,14.5,1.012,NA,10,13,0.3,1.3,0,6,NA,14.6,100,NA,NA,NA,NA,7.8,8.4,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,0.6,4,2,0,0.03,0,164.2,18,0.01,0,0,0.3,0,NA,NA,NA,NA,NA,2.6,27.1,67.6,77.2,12.6,10.2,0,NA,3.8,8.8,27.2,45.4,4.3,0.2,14.5,6,23,1.68,1.71,NA,11.1,NA
MOAB_010,2016-04-28,Bw2,23,41,32,1.009,NA,50,47.1,0.1,1.7,0,3.8,NA,48.9,100,NA,NA,NA,NA,8,8.5,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,0.4,5,2,0,0.03,0,91.3,46.2,0.01,0.01,0,0.2,0,NA,NA,NA,NA,NA,1.2,8.8,0,77.5,12.2,10.3,2.9,NA,3.3,8.9,23.6,47.6,5.7,0.5,32,23,41,1.52,1.54,NA,6.2,NA
MOAB_010,2016-04-28,Bk,41,77,59,1.007,NA,60,42.8,0.1,1.5,0,3.1,NA,44.4,100,NA,NA,NA,NA,8,8.6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,0.3,4,1,0,0.02,0,51,41.8,0,0.01,0,0.2,0,NA,NA,NA,NA,NA,1.2,5.3,1.4,82.3,8.6,9.1,3.1,NA,2.3,6.3,19.7,55.4,5.4,1,59,41,77,NA,NA,1.63,NA,4.1
MOAB_010,2016-04-28,A,0,6,3,1.009,NA,0,5.7,0.3,1.1,0,4.5,NA,7.1,100,NA,NA,NA,NA,7.4,7.9,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0.6,5,3,0.1,0.02,0,132.3,51.3,0.01,0,0,0.2,0,NA,0,NA,NA,NA,8.4,3.6,2.3,79.5,12.6,7.9,0,NA,4,8.6,30,45,4.3,0.2,3,0,6,NA,NA,1.68,NA,7.9
MOAB_010,2016-04-28,C,77,100,88.5,1.007,NA,40,45,0.2,2.7,0,3.9,NA,47.9,100,NA,NA,NA,NA,8.1,8.7,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,0.4,2,1,0,0.02,0,93.7,0,0,0,0,0.2,0,NA,NA,NA,NA,NA,0.8,35,83.4,82.7,8.4,8.9,2,NA,1.9,6.5,27.8,44.7,9.4,0.5,88.5,77,100,NA,NA,1.71,NA,4.7
MOAB_046,2016-04-28,Bk1,37,68,52.5,1.013,NA,150,53.5,0.3,5.7,0,5.5,NA,59.5,100,NA,NA,NA,NA,8,8.6,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,0.3,7,2,0.1,0.03,0,74.3,83.4,0.01,0.01,0,0.3,0,NA,NA,NA,NA,NA,1.2,88.2,163.7,61.5,19.5,19,9,NA,6.6,12.9,38,19.3,2.6,1.1,NA,NA,NA,NA,NA,NA,NA,NA
MOAB_046,2016-04-28,A,0,8,4,1.012,NA,0,7.2,0.6,2,0,6.9,NA,9.8,100,NA,NA,NA,NA,7.4,7.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,0.6,6,4,0,0.04,0,233.7,110.9,0.02,0.02,0,0.4,0,NA,0.6,NA,NA,NA,9.6,0,0,71.6,18.3,10.1,NA,NA,5,13.3,46.8,22.9,1.6,0.3,4,0,8,NA,NA,1.49,NA,6.6
MOAB_046,2016-04-28,Bw,8,37,22.5,1.017,NA,20,43.7,0.6,3.5,0,8.1,NA,47.8,100,NA,NA,NA,NA,7.9,8.4,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,0.5,5,3,0,0.04,0,172.3,77.6,0.02,0.01,0,0.4,0,NA,NA,NA,NA,NA,1.3,48.7,17.6,66.7,18.2,15.1,1.8,NA,5.2,13,40.6,24.4,1.6,0.1,NA,NA,NA,NA,NA,NA,NA,NA
MOAB_046,2016-04-28,Bk2,68,92,80,1.011,0,160,49.8,0.2,12.2,0.2,3.4,NA,62.4,100,NA,NA,NA,NA,8.4,8.7,0.7,NA,0,6.5,7.2,0,2.88,0,31.8,2.1,0.1,17.9,11.8,0,0.1,0,8.5,NA,24.2,20.6,0.5,3,1,0.2,0.01,0,23.9,61.8,0.01,0.01,0,0.1,0,NA,NA,NA,NA,NA,3.1,77.1,118.9,77.4,12.4,10.2,4.3,NA,4.7,7.7,36.3,32.3,4,3.6,NA,NA,NA,NA,NA,NA,NA,NA
