plotID,collectDate,nitrogenPercent,cnSampleID,organicCPercent,soil_cn
JORN_044,2016-07-19,0.03,JORN_044-M-0.5-28-20160719-CN,0.22,7.333333333333334
JORN_044,2016-07-19,0.03,JORN_044-M-0.5-28-20160719-CN,0.15,5
JORN_044,2016-07-19,0.03,JORN_044-M-0.5-28-20160719-CN,0.22,7.333333333333334
JORN_044,2016-07-19,0.03,JORN_044-M-0.5-28-20160719-CN,0.15,5
JORN_001,2016-07-19,0.03,JORN_001-M-28.5-36.5-20160719-CN,0.2,6.666666666666667
JORN_001,2016-07-19,0.04,JORN_001-M-8-17.5-20160719-CN,0.24,6
JORN_001,2016-07-19,0.02,JORN_001-M-38.5-3.5-20160719-CN,0.15,7.5
JORN_001,2016-07-19,0.02,JORN_001-M-38.5-3.5-20160719-CN,0.1,5
JORN_001,2016-07-19,0.02,JORN_001-M-38.5-3.5-20160719-CN,0.15,7.5
JORN_001,2016-07-19,0.02,JORN_001-M-38.5-3.5-20160719-CN,0.1,5
JORN_005,2016-07-19,0.02,JORN_005-M-16.5-8.5-20160719-CN,0.17,8.5
JORN_005,2016-07-19,0.02,JORN_005-M-34-14-20160719-CN,0.34,17
JORN_005,2016-07-19,0.03,JORN_005-M-32-35-20160719-CN,0.3,10
JORN_004,2017-08-08,0.03,JORN_004-M-35-30-20170808-CN,0.12,4
JORN_006,2017-08-08,0.03,JORN_006-M-0.5-2.5-20170808-CN,0.08,2.666666666666667
JORN_006,2017-08-08,0.03,JORN_006-M-35.5-9.5-20170808-CN,0.09,3
JORN_004,2017-08-08,0.04,JORN_004-M-10-38.5-20170808-CN,0.13,3.25
JORN_006,2017-08-08,0.03,JORN_006-M-39.5-38-20170808-CN,0.06,2
JORN_004,2017-08-08,0.04,JORN_004-M-18.5-1-20170808-CN,0.14,3.5000000000000004
JORN_045,2017-08-08,0.05,JORN_045-M-29-7.5-20170808-CN,0.18,3.5999999999999996
JORN_045,2017-08-08,0.02,JORN_045-M-14.5-7-20170808-CN,0.1,5
JORN_045,2017-08-08,0.03,JORN_045-M-6-25-20170808-CN,0.08,2.666666666666667
JORN_002,2017-08-08,0.03,JORN_002-M-2-10.5-20170808-CN,0.07,2.3333333333333335
JORN_002,2017-08-08,0.03,JORN_002-M-2-10.5-20170808-CN,0.09,3
JORN_002,2017-08-08,0.03,JORN_002-M-2-10.5-20170808-CN,0.07,2.3333333333333335
JORN_002,2017-08-08,0.03,JORN_002-M-2-10.5-20170808-CN,0.09,3
JORN_047,2017-08-08,0.05,JORN_047-M-1-35.5-20170808-CN,0.11,2.1999999999999997
JORN_002,2017-08-08,0.02,JORN_002-M-9-31-20170808-CN,0.09,4.5
JORN_047,2017-08-08,0.03,JORN_047-M-17.5-9-20170808-CN,0.1,3.3333333333333335
JORN_002,2017-08-08,0.03,JORN_002-M-36-29-20170808-CN,0.1,3.3333333333333335
JORN_047,2017-08-08,0.03,JORN_047-M-30-12-20170808-CN,0.09,3
JORN_003,2017-08-08,0.02,JORN_003-M-22-7-20170808-CN,0.05,2.5
JORN_042,2017-08-08,0.03,JORN_042-M-17.5-34.5-20170808-CN,0.23,7.666666666666667
JORN_042,2017-08-08,0.03,JORN_042-M-27-39-20170808-CN,0.11,3.666666666666667
JORN_042,2017-08-08,0.02,JORN_042-M-0.5-8.5-20170808-CN,0.09,4.5
JORN_003,2017-08-08,0.03,JORN_003-M-7.5-24-20170808-CN,0.09,3
JORN_003,2017-08-08,0.03,JORN_003-M-7.5-24-20170808-CN,0.09,3
JORN_003,2017-08-08,0.03,JORN_003-M-7.5-24-20170808-CN,0.09,3
JORN_003,2017-08-08,0.03,JORN_003-M-7.5-24-20170808-CN,0.09,3
JORN_044,2017-08-08,0.03,JORN_044-M-9-39.5-20170808-CN,0.18,6
JORN_003,2017-08-08,0.03,JORN_003-M-21-38-20170808-CN,0.07,2.3333333333333335
JORN_044,2017-08-08,0.02,JORN_044-M-23-31.5-20170808-CN,0.05,2.5
JORN_044,2017-08-08,0.02,JORN_044-M-7-13.5-20170808-CN,0.07,3.5000000000000004
JORN_001,2017-08-08,0.02,JORN_001-M-21-38.5-20170808-CN,0.11,5.5
JORN_001,2017-08-08,0.02,JORN_001-M-12-36.5-20170808-CN,0.09,4.5
JORN_001,2017-08-08,0.03,JORN_001-M-31-11.5-20170808-CN,0.09,3
JORN_005,2017-08-08,0.02,JORN_005-M-4-17.5-20170808-CN,0.09,4.5
JORN_005,2017-08-08,0.02,JORN_005-M-35.5-19.5-20170808-CN,0.08,4
JORN_005,2017-08-08,0.03,JORN_005-M-36.5-35.5-20170808-CN,0.3,10
SRER_006,2016-07-21,0.05,SRER_006-M-26.5-2-20160721-CN,0.3,5.999999999999999
SRER_006,2016-07-21,0.04,SRER_006-M-6-27-20160721-CN,0.32,8
SRER_052,2016-07-21,0.03,SRER_052-M-23.5-6.5-20160721-CN,0.3,10
SRER_006,2016-07-21,0.04,SRER_006-M-32-39-20160721-CN,0.91,22.75
SRER_052,2016-07-21,0.04,SRER_052-M-10.5-34.5-20160721-CN,0.22,5.5
SRER_052,2016-07-21,0.04,SRER_052-M-26-37.5-20160721-CN,0.17,4.25
SRER_053,2016-07-21,0.04,SRER_053-M-30-14-20160721-CN,0.24,6
SRER_003,2016-07-21,0.02,SRER_003-M-34.5-15-20160721-CN,0.18,9
SRER_053,2016-07-21,0.04,SRER_053-M-29.5-32-20160721-CN,0.19,4.75
SRER_003,2016-07-21,0.02,SRER_003-M-16-31-20160721-CN,0.09,4.5
SRER_053,2016-07-21,0.04,SRER_053-M-0.5-35-20160721-CN,0.18,4.5
SRER_003,2016-07-21,0.03,SRER_003-M-36.5-39-20160721-CN,0.18,6
SRER_005,2016-07-21,0.08,SRER_005-M-7.5-5.5-20160721-CN,0.59,7.374999999999999
SRER_005,2016-07-21,0.12,SRER_005-M-39-3-20160721-CN,1.21,10.083333333333334
SRER_005,2016-07-21,0.07,SRER_005-M-37.5-25.5-20160721-CN,0.48,6.857142857142856
SRER_043,2016-07-21,0.04,SRER_043-M-1.5-0-20160721-CN,0.21,5.25
SRER_043,2016-07-21,0.04,SRER_043-M-38-7.5-20160721-CN,0.19,4.75
SRER_043,2016-07-21,0.04,SRER_043-M-3-26.5-20160721-CN,0.67,16.75
SRER_001,2016-07-21,0.05,SRER_001-M-39-39-20160721-CN,0.28,5.6000000000000005
SRER_001,2016-07-21,0.09,SRER_001-M-37.5-10.5-20160721-CN,1.12,12.444444444444446
