plotID,collectDate,horizonName,variable,value
MOAB_011,2016-04-16,A,mnCitDithionate,0
MOAB_011,2016-04-16,A,siliconCitrateDithionate,NA
MOAB_011,2016-04-16,A,acidity,NA
MOAB_011,2016-04-16,A,waterRetention15Bar,NA
MOAB_011,2016-04-16,A,MehlichIIITotP,NA
MOAB_011,2016-04-16,A,Bray1PExtractable,NA
MOAB_011,2016-04-16,A,OlsenPExtractable,5.7
MOAB_011,2016-04-16,Bw,biogeoTopDepth,10
MOAB_011,2016-04-16,Bw,biogeoBottomDepth,35
MOAB_011,2016-04-16,Bw,biogeoCenterDepth,22.5
MOAB_011,2016-04-16,Bw,airDryOvenDryRatio,1.016
MOAB_011,2016-04-16,Bw,gypsumConc,NA
MOAB_011,2016-04-16,Bw,caco3Conc,40
MOAB_011,2016-04-16,Bw,caNh4d,52.2
MOAB_011,2016-04-16,Bw,kNh4d,0.3
MOAB_011,2016-04-16,Bw,mgNh4d,2
MOAB_011,2016-04-16,Bw,naNh4d,0
MOAB_011,2016-04-16,Bw,cecdNh4,7.7
MOAB_011,2016-04-16,Bw,alSatCecd33,NA
MOAB_011,2016-04-16,Bw,baseSumCecd10,54.5
MOAB_011,2016-04-16,Bw,bsesatCecd10,100
MOAB_011,2016-04-16,Bw,ececCecd33,NA
MOAB_011,2016-04-16,Bw,alKcl,NA
MOAB_011,2016-04-16,Bw,feKcl,NA
MOAB_011,2016-04-16,Bw,mnKcl,NA
MOAB_011,2016-04-16,Bw,phCacl2,7.8
MOAB_011,2016-04-16,Bw,phH2o,8.3
MOAB_011,2016-04-16,Bw,ec12pre,0.12
MOAB_011,2016-04-16,Bw,bSatx,NA
MOAB_011,2016-04-16,Bw,brSatx,NA
MOAB_011,2016-04-16,Bw,caSatx,NA
MOAB_011,2016-04-16,Bw,clSatx,NA
MOAB_011,2016-04-16,Bw,co3Satx,NA
MOAB_011,2016-04-16,Bw,ecSatp,NA
MOAB_011,2016-04-16,Bw,flSatx,NA
MOAB_011,2016-04-16,Bw,waterSatx,NA
MOAB_011,2016-04-16,Bw,hco3Sx,NA
MOAB_011,2016-04-16,Bw,kSatx,NA
MOAB_011,2016-04-16,Bw,mgSatx,NA
MOAB_011,2016-04-16,Bw,naSatx,NA
MOAB_011,2016-04-16,Bw,no2Satx,NA
MOAB_011,2016-04-16,Bw,no3Satx,NA
MOAB_011,2016-04-16,Bw,pSatx,NA
MOAB_011,2016-04-16,Bw,phSp,NA
MOAB_011,2016-04-16,Bw,resist,NA
MOAB_011,2016-04-16,Bw,so4Satx,NA
MOAB_011,2016-04-16,Bw,carbonTot,8.6
MOAB_011,2016-04-16,Bw,nitrogenTot,0.4
MOAB_011,2016-04-16,Bw,ctonRatio,10
MOAB_011,2016-04-16,Bw,estimatedOC,4
MOAB_011,2016-04-16,Bw,sulfurTot,0
MOAB_011,2016-04-16,Bw,alOxalate,0.04
MOAB_011,2016-04-16,Bw,feOxalate,0
