plotID,subplotID,year,nspp_native,nspp_exotic,nspp_unk,shannon_native,shannon_exotic,shannon_unk,cover_native,cover_exotic,cover_unk,rel_cover_native,rel_cover_exotic,rel_cover_unk,shannon_total,nspp_total,rc_Poaceae,rc_exotic_Poaceae,cover_exotic_Poaceae,cover_Poaceae,rc_native_Poaceae,rc_Bromus_tectorum,cover_Bromus_tectorum,site
JORN_001,40,2016,18,3,0,1.9816165714616245,0.6931471805599453,0,34.5,1,0,0.971830985915493,0.028169014084507043,0,2.0736403645573884,19,0.09859154929577464,0,0,3.5,0.09859154929577464,0,0,JORN
JORN_001,40,2017,18,3,0,1.8627758973074289,0.6931471805599453,0,0,1,0,0,0,0,1.9724387962024135,19,0,0,0,0,0,0,0,JORN
JORN_001,40,2018,11,0,1,1.1851956848497924,0,0,16.5,0,0.5,0.9705882352941176,0,0.029411764705882353,1.2830284090764352,11,0.17647058823529413,0,0,3,0.14705882352941177,0,0,JORN
JORN_001,40,2019,5,0,0,1.0027182645175161,0,0,4.5,0,0,1,0,0,1.0027182645175161,4,0,0,0,0,0,0,0,JORN
JORN_001,41,2015,12,0,0,1.8444397270569681,0,0,10,0,0,1,0,0,1.8444397270569681,11,0.65,0,0,6.5,0.65,0,0,JORN
JORN_001,41,2016,19,3,0,2.4809302729103764,0.6931471805599453,0,22,1,0,0.9565217391304348,0.043478260869565216,0,2.582045485959814,20,0.1956521739130435,0,0,4.5,0.1956521739130435,0,0,JORN
JORN_001,41,2017,19,1,1,2.8464803861348673,0,0,10.5,0.5,1,0.875,0.041666666666666664,0.08333333333333333,2.947004770161297,20,0.2916666666666667,0,0,3.5,0.2916666666666667,0,0,JORN
JORN_001,41,2018,9,0,1,2.0794415416798357,0,0,4,0,0.5,0.8888888888888888,0,0.1111111111111111,2.1972245773362196,9,0.5555555555555556,0,0,2.5,0.4444444444444444,0,0,JORN
JORN_001,41,2019,4,0,0,1.0986122886681096,0,0,1.5,0,0,1,0,0,1.0986122886681096,3,0.3333333333333333,0,0,0.5,0.3333333333333333,0,0,JORN
JORN_002,31,2015,14,0,0,2.1711155299327043,0,0,11.5,0,0,1,0,0,2.1711155299327043,13,0.34782608695652173,0,0,4,0.34782608695652173,0,0,JORN
JORN_002,31,2016,19,1,0,2.3610249097096254,0,0,15,0.5,0,0.967741935483871,0.03225806451612903,0,2.4273686832407626,19,0.5483870967741935,0,0,8.5,0.5483870967741935,0,0,JORN
JORN_002,31,2017,21,1,1,2.8315444269076697,0,0,13,0.5,3,0.7878787878787878,0.030303030303030304,0.18181818181818182,2.834661752244436,22,0.2727272727272727,0,0,4.5,0.2727272727272727,0,0,JORN
JORN_002,31,2018,11,0,1,2.3025850929940455,0,0,5,0,0.5,0.9090909090909091,0,0.09090909090909091,2.3978952727983707,11,0.45454545454545453,0,0,2.5,0.36363636363636365,0,0,JORN
JORN_002,31,2019,3,0,0,0.6931471805599453,0,0,1,0,0,1,0,0,0.6931471805599453,2,0.5,0,0,0.5,0.5,0,0,JORN
JORN_002,32,2015,11,0,0,1.4201164366884957,0,0,16,0,0,1,0,0,1.4201164366884957,10,0.65625,0,0,10.5,0.65625,0,0,JORN
JORN_002,32,2016,17,1,0,2.44815508852816,0,0,13.5,0.5,0,0.9642857142857143,0.03571428571428571,0,2.5147970818946126,17,0.39285714285714285,0,0,5.5,0.39285714285714285,0,0,JORN
