plotID,subplotID,year,nspp_native,nspp_unk,nspp_exotic,shannon_native,shannon_unk,shannon_exotic,cover_native,cover_unk,cover_exotic,rel_cover_native,rel_cover_unk,rel_cover_exotic,shannon_total,nspp_total,rc_Poaceae,rc_exotic_Poaceae,cover_exotic_Poaceae,cover_Poaceae,rc_native_Poaceae,rc_Bromus_tectorum,cover_Bromus_tectorum,site
JORN_002,41.4,2016,6,0,0,1.0805738483648537,0,0,7.5,0,0,1,0,0,1.0805738483648537,5,0.2,0,0,1.5,0.2,0,0,JORN
JORN_002,41.4,2017,4,1,1,0.5660857389596289,0,0,6,0.5,0.5,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.9943536917623688,5,0.14285714285714285,0,0,1,0.14285714285714285,0,0,JORN
JORN_002,41.4,2018,3,0,0,0.6365141682948128,0,0,1.5,0,0,1,0,0,0.6365141682948128,2,0.3333333333333333,0,0,0.5,0.3333333333333333,0,0,JORN
JORN_002,41.4,2019,4,0,0,1.0986122886681096,0,0,1.5,0,0,1,0,0,1.0986122886681096,3,0,0,0,0,0,0,0,JORN
JORN_003,31.1,2015,6,1,0,1.2905389122065876,0,0,11.5,0.5,0,0.9583333333333334,0.041666666666666664,0,1.4099716642804903,6,0.4166666666666667,0,0,5,0.4166666666666667,0,0,JORN
JORN_003,31.1,2016,6,0,1,1.2510583317959272,0,0,23,0,0.5,0.9787234042553191,0,0.02127659574468085,1.327406729882703,6,0.425531914893617,0,0,10,0.425531914893617,0,0,JORN
JORN_003,31.1,2017,9,0,0,1.2618315678756817,0,0,22,0,0,1,0,0,1.2618315678756817,8,0.18181818181818182,0,0,4,0.18181818181818182,0,0,JORN
JORN_003,31.1,2018,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,JORN
JORN_003,31.1,2019,8,0,0,1.9459101490553132,0,0,3.5,0,0,1,0,0,1.9459101490553132,7,0.2857142857142857,0,0,1,0.2857142857142857,0,0,JORN
JORN_003,31.4,2015,6,0,0,1.515707952085713,0,0,5.5,0,0,1,0,0,1.515707952085713,5,0.5454545454545454,0,0,3,0.5454545454545454,0,0,JORN
JORN_003,31.4,2016,7,0,0,1.2418055480605394,0,0,24.5,0,0,1,0,0,1.2418055480605394,6,0.3469387755102041,0,0,8.5,0.3469387755102041,0,0,JORN
JORN_003,31.4,2017,8,0,1,1.3194763277193695,0,0,15.5,0,0.5,0.96875,0,0.03125,1.4173034909328803,8,0.34375,0,0,5.5,0.34375,0,0,JORN
JORN_003,31.4,2018,4,1,0,0.509137344082687,0,0,7,0.5,0,0.9333333333333333,0.06666666666666667,0,0.7201248812718097,4,0.9333333333333333,0,0,7,0.8666666666666667,0,0,JORN
JORN_003,32.2,2015,6,0,0,1.3655864093679217,0,0,11.5,0,0,1,0,0,1.3655864093679217,5,0.6521739130434783,0,0,7.5,0.6521739130434783,0,0,JORN
JORN_003,32.2,2016,9,0,1,1.6135070497374375,0,0,24.5,0,0.5,0.98,0,0.02,1.6792760220224208,9,0.72,0,0,18,0.72,0,0,JORN
JORN_003,32.2,2017,10,0,1,1.62695279025469,0,0,14.5,0,0.5,0.9666666666666667,0,0.03333333333333333,1.7188657765880977,10,0.6333333333333333,0,0,9.5,0.6333333333333333,0,0,JORN
JORN_003,32.2,2018,3,0,0,0.45056120886630463,0,0,12,0,0,1,0,0,0.45056120886630463,2,1,0,0,12,1,0,0,JORN
JORN_003,32.2,2019,5,1,0,1.2130075659799042,0,0,4,0.5,0,0.8888888888888888,0.1111111111111111,0,1.4270610433807247,5,0.6666666666666666,0,0,3,0.5555555555555556,0,0,JORN
JORN_003,32.4,2015,7,0,0,1.4660636507530747,0,0,13,0,0,1,0,0,1.4660636507530747,6,0.38461538461538464,0,0,5,0.38461538461538464,0,0,JORN
JORN_003,32.4,2016,6,0,1,1.4425068134961785,0,0,19.5,0,0.5,0.975,0,0.025,1.523350992296305,6,0.425,0,0,8.5,0.425,0,0,JORN
JORN_003,32.4,2017,9,0,0,1.9061547465398494,0,0,8,0,0,1,0,0,1.9061547465398494,8,0.375,0,0,3,0.375,0,0,JORN
JORN_003,32.4,2018,4,1,0,1.0549201679861442,0,0,2.5,0.5,0,0.8333333333333334,0.16666666666666666,0,1.3296613488547582,4,0.8333333333333334,0,0,2.5,0.6666666666666666,0,0,JORN
JORN_003,32.4,2019,4,0,0,1.0397207708399179,0,0,2,0,0,1,0,0,1.0397207708399179,3,0.75,0,0,1.5,0.75,0,0,JORN
JORN_003,40.1,2015,5,0,0,0.5488418428457574,0,0,35.5,0,0,1,0,0,0.5488418428457574,4,0.9577464788732394,0,0,34,0.9577464788732394,0,0,JORN
JORN_003,40.1,2016,7,0,1,0.868764092308963,0,0,46.5,0,1,0.9789473684210527,0,0.021052631578947368,0.9525822953938131,7,0.7894736842105263,0,0,37.5,0.7894736842105263,0,0,JORN
JORN_003,40.1,2017,8,0,0,0.8860066164439498,0,0,32,0,0,1,0,0,0.8860066164439498,7,0.875,0,0,28,0.875,0,0,JORN
JORN_003,40.1,2018,5,0,0,0.623848004006291,0,0,12,0,0,1,0,0,0.623848004006291,4,0.9166666666666666,0,0,11,0.9166666666666666,0,0,JORN
JORN_003,40.1,2019,5,0,0,0.7937300551584248,0,0,6.5,0,0,1,0,0,0.7937300551584248,4,0.8461538461538461,0,0,5.5,0.8461538461538461,0,0,JORN
JORN_003,40.3,2015,5,0,0,1.0547209169068124,0,0,7,0,0,1,0,0,1.0547209169068124,4,0.6428571428571429,0,0,4.5,0.6428571428571429,0,0,JORN
JORN_003,40.3,2016,7,0,1,1.4837553323688342,0,0,19,0,0.5,0.9743589743589743,0,0.02564102564102564,1.564957250242801,7,0.3076923076923077,0,0,6,0.3076923076923077,0,0,JORN
JORN_003,40.3,2017,13,0,0,2.165292110417084,0,0,12.5,0,0,1,0,0,2.165292110417084,12,0.64,0,0,8,0.64,0,0,JORN
JORN_003,40.3,2018,4,1,0,0.8675632284814612,0,0,3,0.5,0,0.8571428571428571,0.14285714285714285,0,1.1537419427010902,4,0.8571428571428571,0,0,3,0.7142857142857143,0,0,JORN
JORN_003,40.3,2019,6,1,0,1.5498260458782016,0,0,3.5,0.5,0,0.875,0.125,0,1.732867951399863,6,0.375,0,0,1.5,0.25,0,0,JORN
JORN_003,41.1,2015,5,1,0,1.1488491992243572,0,0,9.5,0.5,0,0.95,0.05,0,1.289921982609012,5,0.4,0,0,4,0.4,0,0,JORN
JORN_003,41.1,2016,6,0,1,1.1752045970807579,0,0,20,0,0.5,0.975609756097561,0,0.024390243902439025,1.2612063525255972,6,0.7804878048780488,0,0,16,0.7804878048780488,0,0,JORN
JORN_003,41.1,2017,8,0,1,1.559581156259877,0,0,8,0,0.5,0.9411764705882353,0,0.058823529411764705,1.691559164310424,8,0.7058823529411765,0,0,6,0.7058823529411765,0,0,JORN
