plotID,subplotID,year,endDate,nspp_native,nspp_exotic,nspp_unk,shannon_native,shannon_exotic,shannon_unk,cover_native,cover_exotic,cover_unk,rel_cover_native,rel_cover_exotic,rel_cover_unk,shannon_total,nspp_total,rc_Fabaceae,rc_Poaceae,rc_exotic_Poaceae,cover_exotic_Poaceae,cover_Fabaceae,cover_Poaceae,rc_native_Poaceae,site
JORN_004,plot,2017,2017-04-21,18,0,0,1.8770147932183991,0,0,NA,NA,NA,NA,NA,NA,1.8770147932183991,17,NA,NA,NA,NA,NA,NA,NA,JORN
JORN_004,plot,2017,2017-09-06,18,0,3,1.3622730190624415,0,0.6193762897414468,16.072916666666668,0,0.6041666666666666,0.9637726420986885,0,0.03622735790131168,1.5442522082298697,19,0.41723922548407244,0.17051842598376016,NA,NA,6.958333333333333,2.84375,0.15927545284197378,JORN
JORN_004,plot,2018,2018-04-12,9,0,3,1.4743731637684974,0,0.5004024235381879,7.135416666666667,0,0.20833333333333331,0.9716312056737589,0,0.02836879432624113,1.5860960875500791,10,0.41418439716312055,0.2269503546099291,NA,NA,3.0416666666666665,1.6666666666666667,0.20425531914893616,JORN
JORN_004,plot,2018,2018-09-05,7,0,0,1.6688901119070978,0,0,NA,NA,NA,NA,NA,NA,1.6688901119070978,6,NA,NA,NA,NA,NA,NA,NA,JORN
JORN_004,plot,2019,2019-04-16,7,0,0,1.2830316101478845,0,0,3.625,0,0,1,0,0,1.2830316101478845,6,0.41379310344827586,0.017241379310344827,NA,NA,1.5,0.0625,0.017241379310344827,JORN
JORN_005,plot,2015,2015-08-19,28,1,1,2.6722364104274967,0,0,11.229166666666666,0.375,0.16666666666666666,0.9539823008849556,0.03185840707964602,0.014159292035398228,2.7642885780931694,29,0.30442477876106194,0.24601769911504426,NA,NA,3.5833333333333335,2.8958333333333335,0.24601769911504426,JORN
JORN_005,plot,2016,2016-05-08,17,0,1,1.8639855051673702,0,0,0,0,0.08333333333333333,0,0,0.005102040816326531,1.8976678265931612,17,0.2614795918367347,0,NA,NA,4.270833333333333,0,NA,JORN
JORN_005,plot,2016,2016-09-08,24,1,0,2.70734649875538,0,0,16.208333333333332,0.041666666666666664,0,0.9923469387755102,0.0025510204081632655,0,2.728215789972988,24,0,0.30165816326530615,NA,NA,0,4.927083333333333,0.30165816326530615,JORN
JORN_005,plot,2017,2017-04-20,17,0,3,2.0230809224388966,0,0.6730116670092563,NA,NA,NA,NA,NA,NA,2.0707372180283747,18,0.2418191902384914,0,NA,NA,4.541666666666667,0,NA,JORN
JORN_005,plot,2017,2017-09-07,31,4,1,2.6574930526319065,0.9285845074396563,0,17.270833333333332,0.4375,1.0729166666666667,0.9195784803105934,0.02329450915141431,0.05712701053799224,2.817820169932341,34,0,0.23793677204658903,NA,NA,0,4.46875,0.23793677204658903,JORN
JORN_005,plot,2018,2018-04-12,25,0,1,2.3683273078984324,0,0,7.833333333333333,0,0.125,0.9842931937172775,0,0.015706806282722512,2.413621261814935,25,0.3992146596858639,0.35340314136125656,NA,NA,3.1770833333333335,2.8125,0.35340314136125656,JORN
JORN_005,plot,2018,2018-09-05,5,0,0,1.162225544921092,0,0,NA,NA,NA,NA,NA,NA,1.162225544921092,4,NA,NA,NA,NA,NA,NA,NA,JORN
JORN_005,plot,2019,2019-04-16,16,0,0,1.9028073483758676,0,0,3.3125,0,0,1,0,0,1.9028073483758676,15,0.5094339622641509,0.1320754716981132,NA,NA,1.6875,0.4375,0.1320754716981132,JORN
JORN_006,plot,2015,2015-08-19,27,0,0,2.517558746847456,0,0,8.208333333333334,0,0,1,0,0,2.517558746847456,26,0.36548223350253806,0.25634517766497456,NA,NA,3,2.1041666666666665,0.25634517766497456,JORN
JORN_006,plot,2016,2016-05-09,21,0,0,2.3601562139066363,0,0,22.385416666666668,0,0,0.994447015270708,0,0,2.3601562139066363,20,0.6122165664044423,0,NA,NA,13.78125,0,NA,JORN
JORN_006,plot,2016,2016-09-10,25,3,0,1.2410237386077696,0.6365141682948128,0,0,0.125,0,0,0.005552984729291994,0,1.2797578800650722,26,0,0.1934289680703378,NA,NA,0,4.354166666666667,0.1934289680703378,JORN
JORN_006,plot,2017,2017-04-22,23,0,1,1.1719106424184367,0,0,22.635416666666668,0,0.08333333333333333,0.994508009153318,0,0.003661327231121281,1.1961140129738441,23,0.6320366132723112,0,NA,NA,14.385416666666666,0,NA,JORN
JORN_006,plot,2017,2017-09-11,23,1,0,2.627420268314872,0,0,0,0.041666666666666664,0,0,0.0018306636155606406,0,2.654176404508755,23,0,0.1574370709382151,NA,NA,0,3.5833333333333335,0.1574370709382151,JORN
JORN_006,plot,2018,2018-04-11,17,0,1,2.4979000007903993,0,0,6.864583333333333,0,0.041666666666666664,0.9939668174962292,0,0.0060331825037707384,2.5437327979080537,17,0.7330316742081447,0.18250377073906487,NA,NA,5.0625,1.2604166666666667,0.18250377073906487,JORN
JORN_006,plot,2018,2018-09-06,5,0,0,0.2761841256698437,0,0,NA,NA,NA,NA,NA,NA,0.2761841256698437,4,NA,NA,NA,NA,NA,NA,NA,JORN
JORN_006,plot,2019,2019-04-16,12,0,0,1.3169087134872859,0,0,4.625,0,0,1,0,0,1.3169087134872859,11,0.6621621621621622,0.04054054054054054,NA,NA,3.0625,0.1875,0.04054054054054054,JORN
JORN_007,plot,2016,2016-05-06,20,0,0,1.1685491258721965,0,0,NA,NA,NA,NA,NA,NA,1.1685491258721965,19,0.6291028446389497,0,NA,NA,11.979166666666666,0,NA,JORN
JORN_007,plot,2016,2016-09-09,18,3,0,2.1131487082343923,0.5982695885852573,0,18.895833333333332,0.14583333333333331,0,0.9923413566739607,0.007658643326039387,0,2.222042562724773,19,0,0.13238512035010944,NA,NA,0,2.5208333333333335,0.13238512035010944,JORN
JORN_007,plot,2017,2017-04-20,18,0,0,1.5747808440101339,0,0,NA,NA,NA,NA,NA,NA,1.5747808440101339,17,0.47162935970848513,0,NA,NA,9.4375,0,NA,JORN
JORN_007,plot,2017,2017-09-11,15,1,1,1.5877861072167185,0,0,19.84375,0.08333333333333333,0.08333333333333333,0.9916710046850598,0.004164497657470068,0.004164497657470068,1.7342879217635352,16,0,0.107756376887038,NA,NA,0,2.15625,0.107756376887038,JORN
JORN_007,plot,2018,2018-04-11,14,0,3,0.9693793360660468,0,0.6365141682948128,14.916666666666666,0,0.1875,0.9875862068965517,0,0.012413793103448277,1.0336318917491307,15,0.706896551724138,0.09310344827586207,NA,NA,10.677083333333334,1.40625,0.08482758620689655,JORN
